|Grain|Grain Mill Products|Farm Products (excl. Grain)|Food Products|Chemicals|Petroleum & Petroleum Products|Primary Metal Products|Primary Forest Products|Lumber & Wood Products|Pulp & Paper Products|Non-Metallic Minerals (incl. Phosphates)|Crushed Stone, Sand & Gravel|Stone, Clay & Glass Products|Iron & Steel Scrap|Waste & Nonferrous Scrap|Motor Vehicles and Parts|Metallic Ores|Coal|Coke|All Other Carloads|Total Carloads|Trailers|Containers|Total Intermodal|Total Traffic|Non‐Metallic Minerals (incl. Phosphates)|Primary Forest Products*|Farm Products, Ex. Grain|Food & Kindred Products|Petroleum Products|Metals & Products|Pulp, Paper & Allied Products|Phosphate (Phospate Rock)|Automotive (Motor Vehicles & Equip.)|Military, Machinery & Transportation Equipment
Week 17 pct-change|36.8|7.1|2.4|11.9|9.5|21.8|3.8|6.6|7.8|3.8|19.9|6.5|9.0|3.2|1.7|1.8|3.0|15.5|14.1|2.5|4.8|7.2|3.7|3.8|4.4||||||||||
Week 17 2018 QTD|12141.0|7809.0|830.0|8901.0|40412.0|10805.0|10864.0|1636.0|5205.0|11387.0|11154.0|21731.0|9665.0|5440.0|10049.0|38208.0|2969.0|64228.0|3831.0|5707.0|282972.0|8175.0|212776.0|220951.0|503923.0||||||||||
Week 17 2017 QTD|10865.0|8238.0|852.0|8616.0|43748.0|11322.0|10960.0|2039.0|5135.0|10642.0|14336.0|20769.0|9818.0|5356.0|10862.0|34848.0|2720.0|57228.0|3650.0|6107.0|278111.0|7585.0|207558.0|215143.0|493254.0||||||||||
Week 17 QTD pct-change|11.7|5.2|2.6|3.3|7.6|4.6|0.9|19.8|1.4|7.0|22.2|4.6|1.6|1.6|7.5|9.6|9.2|12.2|5.0|6.5|1.7|7.8|2.5|2.7|2.2||||||||||
Week 17 2018 YTD|47177.0|33611.0|3963.0|36097.0|168857.0|49246.0|46302.0|8274.0|19706.0|48034.0|47577.0|73626.0|37546.0|21125.0|40622.0|150619.0|11191.0|257208.0|16414.0|21763.0|1138958.0|36075.0|875584.0|911659.0|2050617.0||||||||||
Week 17 2017 YTD|50475.0|35489.0|3833.0|35719.0|185043.0|51130.0|46833.0|8894.0|19793.0|47035.0|61082.0|75808.0|37937.0|23822.0|45780.0|154424.0|12849.0|249744.0|18325.0|23512.0|1187513.0|33540.0|869444.0|902984.0|2090497.0||||||||||
Week 17 YTD pct-change|6.5|5.3|3.4|1.1|8.7|3.7|1.1|7.0|0.4|2.1|22.1|2.9|1.0|11.3|11.3|2.5|12.9|3.0|10.4|7.4|4.1|7.6|0.7|1.0|1.9||||||||||
Week 16 2018|3366.0|1818.0|213.0|2274.0|10469.0|2655.0|2799.0|349.0|1301.0|2910.0|2572.0|5599.0|2422.0|1428.0|2620.0|8940.0|674.0|15545.0|1010.0|1547.0|70511.0|2010.0|54134.0|56144.0|126655.0||||||||||
Week 16 2017|2873.0|1982.0|208.0|1838.0|10989.0|2926.0|2711.0|583.0|1259.0|2675.0|3518.0|5564.0|2472.0|1436.0|2760.0|8418.0|806.0|13992.0|868.0|1493.0|69371.0|1847.0|51419.0|53266.0|122637.0||||||||||
Week 16 pct-change|17.2|8.3|2.4|23.7|4.7|9.3|3.2|40.1|3.3|8.8|26.9|0.6|2.0|0.6|5.1|6.2|16.4|11.1|16.4|3.6|1.6|8.8|5.3|5.4|3.3||||||||||
Week 16 2018 QTD|8898.0|5889.0|623.0|6577.0|30520.0|7909.0|7919.0|1138.0|3816.0|8681.0|8325.0|16117.0|6950.0|4045.0|7590.0|29486.0|2194.0|47279.0|2902.0|4078.0|210936.0|6161.0|158440.0|164601.0|375537.0||||||||||
