|Grain|Grain Mill Products|Farm Products (excl. Grain)|Food Products|Chemicals|Petroleum & Petroleum Products|Primary Metal Products|Primary Forest Products|Lumber & Wood Products|Pulp & Paper Products|Non-Metallic Minerals (incl. Phosphates)|Crushed Stone, Sand & Gravel|Stone, Clay & Glass Products|Iron & Steel Scrap|Waste & Nonferrous Scrap|Motor Vehicles and Parts|Metallic Ores|Coal|Coke|All Other Carloads|Total Carloads|Trailers|Containers|Total Intermodal|Total Traffic|Non‐Metallic Minerals (incl. Phosphates)|Primary Forest Products*|Farm Products, Ex. Grain|Food & Kindred Products|Petroleum Products|Metals & Products|Pulp, Paper & Allied Products|Phosphate (Phospate Rock)|Automotive (Motor Vehicles & Equip.)|Military, Machinery & Transportation Equipment
Week 45 pct-change|7.2|0.8|6.4|14.5|3.4|30.3|20.2|20.5|7.4|6.7||16.6|0.7|2.5|4.3|4.4|20.3|3.4|33.4|45.1|2.6|24.1|3.0|4.0|3.2|4.9|||||||||
Week 45 2016 QTD|21519.0|13606.0|1297.0|12944.0|59902.0|18107.0|13665.0|2921.0|6902.0|14985.0||31051.0|14460.0|6157.0|16118.0|59759.0|5271.0|93424.0|4798.0|8330.0|425921.0|11928.0|320389.0|332317.0|758238.0|20705.0|||||||||
Week 45 2015 QTD|21854.0|13799.0|1443.0|12915.0|63294.0|23050.0|16605.0|3663.0|7030.0|16991.0||29680.0|14682.0|6588.0|14712.0|55772.0|8083.0|90320.0|6036.0|8951.0|437098.0|15389.0|330363.0|345752.0|782850.0|21630.0|||||||||
Week 45 QTD pct-change|1.5|1.4|10.1|0.2|5.4|21.4|17.7|20.3|1.8|11.8||4.6|1.5|6.5|9.6|7.1|34.8|3.4|20.5|6.9|2.6|22.5|3.0|3.9|3.1|4.3|||||||||
Week 45 2016 YTD|137268.0|92262.0|9148.0|97382.0|467257.0|143264.0|115932.0|23956.0|51911.0|123785.0||211111.0|106410.0|57090.0|121841.0|415861.0|50772.0|651309.0|43517.0|63830.0|3134027.0|92328.0|2300416.0|2392744.0|5526771.0|150121.0|||||||||
Week 45 2015 YTD|152159.0|98095.0|11390.0|100136.0|476940.0|194721.0|138508.0|28270.0|53098.0|137976.0||204666.0|109364.0|59769.0|104398.0|391693.0|71261.0|848236.0|49770.0|61696.0|3452051.0|116791.0|2356859.0|2473650.0|5925701.0|159905.0|||||||||
Week 45 YTD pct-change|9.8|5.9|19.7|2.8|2.0|26.4|16.3|15.3|2.2|10.3||3.1|2.7|4.5|16.7|6.2|28.8|23.2|12.6|3.5|9.2|20.9|2.4|3.3|6.7|6.1|||||||||
Week 44 2016|3775.0|2394.0|216.0|2115.0|9758.0|3075.0|2418.0|533.0|1265.0|2471.0||5290.0|2488.0|1034.0|2722.0|10175.0|876.0|15645.0|939.0|1148.0|71999.0|1946.0|55454.0|57400.0|129399.0|3662.0|||||||||
Week 44 2015|3459.0|2402.0|307.0|2136.0|10785.0|4222.0|2715.0|588.0|1232.0|2875.0||4746.0|2383.0|784.0|2506.0|9231.0|1584.0|14819.0|939.0|1274.0|71975.0|2618.0|53842.0|56460.0|128435.0|2988.0|||||||||
Week 44 pct-change|9.1|0.3|29.6|1.0|9.5|27.2|10.9|9.4|2.7|14.1||11.5|4.4|31.9|8.6|10.2|44.7|5.6|0.0|9.9|0.0|25.7|3.0|1.7|0.8|22.6|||||||||
Week 44 2016 QTD|18365.0|11333.0|1019.0|10721.0|49840.0|15148.0|11573.0|2396.0|5689.0|12346.0||25798.0|12120.0|5059.0|13468.0|50178.0|4358.0|76835.0|4157.0|7116.0|354826.0|9870.0|266402.0|276272.0|631098.0|17307.0|||||||||
Week 44 2015 QTD|18911.0|11508.0|1146.0|10973.0|52880.0|18806.0|13982.0|3003.0|5901.0|14161.0||25176.0|12326.0|5517.0|12172.0|46594.0|6937.0|74271.0|5073.0|6741.0|364135.0|12678.0|274707.0|287385.0|651520.0|18057.0|||||||||
Week 44 QTD pct-change|2.9|1.5|11.1|2.3|5.7|19.5|17.2|20.2|3.6|12.8||2.5|1.7|8.3|10.6|7.7|37.2|3.5|18.1|5.6|2.6|22.1|3.0|3.9|3.1|4.2|||||||||
Week 44 2016 YTD|134114.0|89989.0|8870.0|95159.0|457195.0|140305.0|113840.0|23431.0|50698.0|121146.0||205858.0|104070.0|55992.0|119191.0|406280.0|49859.0|634720.0|42876.0|62616.0|3062932.0|90270.0|2246429.0|2336699.0|5399631.0|146723.0|||||||||
Week 44 2015 YTD|149216.0|95804.0|11093.0|98194.0|466526.0|190477.0|135885.0|27610.0|51969.0|135146.0||200162.0|107008.0|58698.0|101858.0|382515.0|70115.0|832187.0|48807.0|59486.0|3379088.0|114080.0|2301203.0|2415283.0|5794371.0|156332.0|||||||||
Week 44 YTD pct-change|10.1|6.1|20.0|3.1|2.0|26.3|16.2|15.1|2.4|10.4||2.8|2.7|4.6|17.0|6.2|28.9|23.7|12.2|5.3|9.4|20.9|2.4|3.3|6.8|6.1|||||||||
Week 43 2016|4146.0|2236.0|252.0|2365.0|10265.0|3347.0|2563.0|531.0|1089.0|2660.0|3624.0|5612.0|2548.0|1013.0|2765.0|10605.0|928.0|15557.0|713.0|1591.0|74410.0|2056.0|55542.0|57598.0|132008.0||||||||||
Week 43 2015|3447.0|2224.0|205.0|2215.0|11096.0|3357.0|2856.0|591.0|1240.0|3151.0|4078.0|4533.0|2720.0|1348.0|2506.0|9386.0|1395.0|14756.0|1052.0|1650.0|73806.0|2514.0|54536.0|57050.0|130856.0||||||||||
Week 43 pct-change|20.3|0.5|22.9|6.8|7.5|0.3|10.3|10.2|12.2|15.6|11.1|23.8|6.3|24.9|10.3|13.0|33.5|5.4|32.2|3.6|0.8|18.2|1.8|1.0|0.9||||||||||
Week 43 2016 QTD|14590.0|8939.0|803.0|8606.0|40082.0|12073.0|9155.0|1863.0|4424.0|9875.0|13645.0|20508.0|9632.0|4025.0|10746.0|40003.0|3482.0|61190.0|3218.0|5968.0|282827.0|7924.0|210948.0|218872.0|501699.0||||||||||
Week 43 2015 QTD|15452.0|9106.0|839.0|8837.0|42095.0|14584.0|11267.0|2415.0|4669.0|11286.0|15069.0|20430.0|9943.0|4733.0|9666.0|37363.0|5353.0|59452.0|4134.0|5467.0|292160.0|10060.0|220865.0|230925.0|523085.0||||||||||
Week 43 QTD pct-change|5.6|1.8|4.3|2.6|4.8|17.2|18.7|22.9|5.2|12.5|9.4|0.4|3.1|15.0|11.2|7.1|35.0|2.9|22.2|9.2|3.2|21.2|4.5|5.2|4.1||||||||||
Week 43 2016 YTD|130339.0|87595.0|8654.0|93044.0|447437.0|137230.0|111422.0|22898.0|49433.0|118675.0|143061.0|200568.0|101582.0|54958.0|116469.0|396105.0|48983.0|619075.0|41937.0|61468.0|2990933.0|88324.0|2190975.0|2279299.0|5270232.0||||||||||
Week 43 2015 YTD|145757.0|93402.0|10786.0|96058.0|455741.0|186255.0|133170.0|27022.0|50737.0|132271.0|153344.0|195416.0|104625.0|57914.0|99352.0|373284.0|68531.0|817368.0|47868.0|58212.0|3307113.0|111462.0|2247361.0|2358823.0|5665936.0||||||||||
Week 43 YTD pct-change|10.6|6.2|19.8|3.1|1.8|26.3|16.3|15.3|2.6|10.3|6.7|2.6|2.9|5.1|17.2|6.1|28.5|24.3|12.4|5.6|9.6|20.8|2.5|3.4|7.0||||||||||
Week 42 2016|3742.0|2226.0|174.0|2025.0|9714.0|3169.0|2132.0|424.0|1125.0|2389.0||5210.0|2643.0|1180.0|2678.0|9719.0|699.0|14324.0|843.0|2476.0|71021.0|2092.0|54463.0|56555.0|127576.0|4129.0|||||||||
Week 42 2015|3496.0|2223.0|202.0|2151.0|10286.0|3702.0|3014.0|506.0|1151.0|2707.0||5051.0|2403.0|1242.0|2396.0|9283.0|1268.0|14378.0|1128.0|2089.0|72446.0|2524.0|55177.0|57701.0|130147.0|3770.0|||||||||
Week 42 pct-change|7.0|0.1|13.9|5.9|5.6|14.4|29.3|16.2|2.3|11.7||3.1|10.0|5.0|11.8|4.7|44.9|0.4|25.3|18.5|2.0|17.1|1.3|2.0|2.0|9.5|||||||||
Week 42 2016 QTD|10444.0|6703.0|551.0|6241.0|29817.0|8726.0|6592.0|1332.0|3335.0|7215.0||14896.0|7084.0|3012.0|7981.0|29398.0|2554.0|45633.0|2505.0|4377.0|208417.0|5868.0|155406.0|161274.0|369691.0|10021.0|||||||||
Week 42 2015 QTD|12005.0|6882.0|634.0|6622.0|30999.0|11227.0|8411.0|1824.0|3429.0|8135.0||15897.0|7223.0|3385.0|7160.0|27977.0|3958.0|44696.0|3082.0|3817.0|218354.0|7546.0|166329.0|173875.0|392229.0|10991.0|||||||||
Week 42 QTD pct-change|13.0|2.6|13.1|5.8|3.8|22.3|21.6|27.0|2.7|11.3||6.3|1.9|11.0|11.5|5.1|35.5|2.1|18.7|14.7|4.6|22.2|6.6|7.2|5.7|8.8|||||||||
Week 42 2016 YTD|126193.0|85359.0|8402.0|90679.0|437172.0|133883.0|108859.0|22367.0|48344.0|116015.0||194956.0|99034.0|53945.0|113704.0|385500.0|48055.0|603518.0|41224.0|59877.0|2916523.0|86268.0|2135433.0|2221701.0|5138224.0|139437.0|||||||||
Week 42 2015 YTD|142310.0|91178.0|10581.0|93843.0|444645.0|182898.0|130314.0|26431.0|49497.0|129120.0||190883.0|101905.0|56566.0|96846.0|363898.0|67136.0|802612.0|46816.0|56562.0|3233307.0|108948.0|2192825.0|2301773.0|5535080.0|149266.0|||||||||
Week 42 YTD pct-change|11.3|6.4|20.6|3.4|1.7|26.8|16.5|15.4|2.3|10.1||2.1|2.8|4.6|17.4|5.9|28.4|24.8|11.9|5.9|9.8|20.8|2.6|3.5|7.2|6.6|||||||||
Week 41 2016|3953.0|2325.0|212.0|1988.0|9637.0|2989.0|2131.0|390.0|1072.0|2304.0||5259.0|2139.0|1011.0|2441.0|9545.0|977.0|15438.0|979.0|790.0|68738.0|2006.0|51891.0|53897.0|122635.0|3158.0|||||||||
Week 41 2015|4189.0|2300.0|204.0|2178.0|10124.0|3815.0|2865.0|714.0|1147.0|2764.0||4748.0|2466.0|1199.0|2273.0|9274.0|1352.0|15162.0|885.0|1051.0|72580.0|2588.0|54741.0|57329.0|129909.0|3870.0|||||||||
Week 41 pct-change|5.6|1.1|3.9|8.7|4.8|21.7|25.6|45.4|6.5|16.6||10.8|13.3|15.7|7.4|2.9|27.7|1.8|10.6|24.8|5.3|22.5|5.2|6.0|5.6|18.4|||||||||
Week 41 2016 QTD|6702.0|4477.0|377.0|4216.0|20103.0|5557.0|4460.0|908.0|2210.0|4826.0||9686.0|4441.0|1832.0|5303.0|19679.0|1855.0|31309.0|1662.0|1901.0|137396.0|3776.0|100943.0|104719.0|242115.0|5892.0|||||||||
Week 41 2015 QTD|8509.0|4659.0|432.0|4471.0|20713.0|7525.0|5397.0|1318.0|2278.0|5428.0||10846.0|4820.0|2143.0|4764.0|18694.0|2690.0|30318.0|1954.0|1728.0|145908.0|5022.0|111152.0|116174.0|262082.0|7221.0|||||||||
Week 41 QTD pct-change|21.2|3.9|12.7|5.7|2.9|26.2|17.4|31.1|3.0|11.1||10.7|7.9|14.5|11.3|5.3|31.0|3.3|14.9|10.0|5.8|24.8|9.2|9.9|7.6|18.4|||||||||
Week 41 2016 YTD|122451.0|83133.0|8228.0|88654.0|427458.0|130714.0|106727.0|21943.0|47219.0|113626.0||189746.0|96391.0|52765.0|111026.0|375781.0|47356.0|589194.0|40381.0|57401.0|2845502.0|84176.0|2080970.0|2165146.0|5010648.0|135308.0|||||||||
Week 41 2015 YTD|138814.0|88955.0|10379.0|91692.0|434359.0|179196.0|127300.0|25925.0|48346.0|126413.0||185832.0|99502.0|55324.0|94450.0|354615.0|65868.0|788234.0|45688.0|54473.0|3160861.0|106424.0|2137648.0|2244072.0|5404933.0|145496.0|||||||||
Week 41 YTD pct-change|11.8|6.5|20.7|3.3|1.6|27.1|16.2|15.4|2.3|10.1||2.1|3.1|4.6|17.6|6.0|28.1|25.3|11.6|5.4|10.0|20.9|2.7|3.5|7.3|7.0|||||||||
Week 40 2016|2749.0|2152.0|165.0|2228.0|10466.0|2568.0|2329.0|518.0|1138.0|2522.0||4427.0|2302.0|821.0|2862.0|10134.0|878.0|15871.0|683.0|1111.0|68658.0|1770.0|49052.0|50822.0|119480.0|2734.0|||||||||
Week 40 2015|4320.0|2359.0|228.0|2293.0|10589.0|3710.0|2532.0|604.0|1131.0|2664.0||6098.0|2354.0|944.0|2491.0|9420.0|1338.0|15156.0|1069.0|677.0|73328.0|2434.0|56411.0|58845.0|132173.0|3351.0|||||||||
Week 40 pct-change|36.4|8.8|27.6|2.8|1.2|30.8|8.0|14.2|0.6|5.3||27.4|2.2|13.0|14.9|7.6|34.4|4.7|36.1|64.1|6.4|27.3|13.0|13.6|9.6|18.4|||||||||
Week 40 2016 QTD|2749.0|2152.0|165.0|2228.0|10466.0|2568.0|2329.0|518.0|1138.0|2522.0||4427.0|2302.0|821.0|2862.0|10134.0|878.0|15871.0|683.0|1111.0|68658.0|1770.0|49052.0|50822.0|119480.0|2734.0|||||||||
Week 40 2015 QTD|4320.0|2359.0|228.0|2293.0|10589.0|3710.0|2532.0|604.0|1131.0|2664.0||6098.0|2354.0|944.0|2491.0|9420.0|1338.0|15156.0|1069.0|677.0|73328.0|2434.0|56411.0|58845.0|132173.0|3351.0|||||||||
Week 40 QTD pct-change|36.4|8.8|27.6|2.8|1.2|30.8|8.0|14.2|0.6|5.3||27.4|2.2|13.0|14.9|7.6|34.4|4.7|36.1|64.1|6.4|27.3|13.0|13.6|9.6|18.4|||||||||
Week 40 2016 YTD|118498.0|80808.0|8016.0|86666.0|417821.0|127725.0|104596.0|21553.0|46147.0|111322.0||184487.0|94252.0|51754.0|108585.0|366236.0|46379.0|573756.0|39402.0|56611.0|2776764.0|82170.0|2029079.0|2111249.0|4888013.0|132150.0|||||||||
Week 40 2015 YTD|134625.0|86655.0|10175.0|89514.0|424235.0|175381.0|124435.0|25211.0|47199.0|123649.0||181084.0|97036.0|54125.0|92177.0|345341.0|64516.0|773072.0|44803.0|53422.0|3088281.0|103836.0|2082907.0|2186743.0|5275024.0|141626.0|||||||||
Week 40 YTD pct-change|12.0|6.7|21.2|3.2|1.5|27.2|15.9|14.5|2.2|10.0||1.9|2.9|4.4|17.8|6.1|28.1|25.8|12.1|6.0|10.1|20.9|2.6|3.5|7.3|6.7|||||||||
Week 39 2016|3304.0|2085.0|202.0|2337.0|9906.0|3359.0|2435.0|550.0|1309.0|2785.0||5250.0|2388.0|1296.0|3198.0|10333.0|984.0|15154.0|533.0|1156.0|71801.0|2053.0|52573.0|54626.0|126427.0|3237.0|||||||||
Week 39 2015|3484.0|2190.0|215.0|2240.0|9918.0|4591.0|2982.0|642.0|1268.0|3248.0||5277.0|2447.0|1273.0|2540.0|9260.0|1451.0|16828.0|969.0|1849.0|76020.0|2624.0|57077.0|59701.0|135721.0|3348.0|||||||||
Week 39 pct-change|5.2|4.8|6.0|4.3|0.1|26.8|18.3|14.3|3.2|14.3||0.5|2.4|1.8|25.9|11.6|32.2|9.9|45.0|37.5|5.5|21.8|7.9|8.5|6.8|3.3|||||||||
Week 39 2016 QTD|34627.0|25245.0|2209.0|27502.0|131118.0|38471.0|33436.0|6760.0|15159.0|36035.0||68071.0|31168.0|15727.0|38128.0|115748.0|15162.0|195418.0|11172.0|17450.0|903446.0|25478.0|653746.0|679224.0|1582670.0|44840.0|||||||||
Week 39 2015 QTD|41270.0|27987.0|2732.0|29422.0|133258.0|57404.0|40642.0|8377.0|15546.0|40130.0||67183.0|32628.0|16793.0|31898.0|111590.0|23095.0|238734.0|15016.0|18485.0|997486.0|32704.0|702744.0|735448.0|1732934.0|45296.0|||||||||
Week 39 QTD pct-change|16.1|9.8|19.1|6.5|1.6|33.0|17.7|19.3|2.5|10.2||1.3|4.5|6.3|19.5|3.7|34.3|18.1|25.6|5.6|9.4|22.1|7.0|7.6|8.7|1.0|||||||||
Week 39 2016 YTD|115749.0|78656.0|7851.0|84438.0|407355.0|125157.0|102267.0|21035.0|45009.0|108800.0||180060.0|91950.0|50933.0|105723.0|356102.0|45501.0|557885.0|38719.0|55500.0|2708106.0|80400.0|1980027.0|2060427.0|4768533.0|129416.0|||||||||
Week 39 2015 YTD|130305.0|84296.0|9947.0|87221.0|413646.0|171671.0|121903.0|24607.0|46068.0|120985.0||174986.0|94682.0|53181.0|89686.0|335921.0|63178.0|757916.0|43734.0|52745.0|3014953.0|101402.0|2026496.0|2127898.0|5142851.0|138275.0|||||||||
Week 39 YTD pct-change|11.2|6.7|21.1|3.2|1.5|27.1|16.1|14.5|2.3|10.1||2.9|2.9|4.2|17.9|6.0|28.0|26.4|11.5|5.2|10.2|20.7|2.3|3.2|7.3|6.4|||||||||
Week 38 2016|2835.0|2128.0|210.0|2297.0|10106.0|2851.0|2460.0|479.0|1193.0|2756.0||4576.0|2344.0|1286.0|2992.0|10117.0|1163.0|17137.0|876.0|1513.0|73007.0|2073.0|52176.0|54249.0|127256.0|3688.0|||||||||
Week 38 2015|3614.0|2408.0|199.0|2090.0|9721.0|4056.0|3142.0|591.0|1260.0|3280.0||4905.0|2571.0|1379.0|2367.0|9167.0|1740.0|17941.0|1133.0|1321.0|76586.0|2645.0|56156.0|58801.0|135387.0|3701.0|||||||||
Week 38 pct-change|21.6|11.6|5.5|9.9|4.0|29.7|21.7|19.0|5.3|16.0||6.7|8.8|6.7|26.4|10.4|33.2|4.5|22.7|14.5|4.7|21.6|7.1|7.7|6.0|0.4|||||||||
Week 38 2016 QTD|31323.0|23160.0|2007.0|25165.0|121212.0|35112.0|31001.0|6210.0|13850.0|33250.0||62821.0|28780.0|14431.0|34930.0|105415.0|14178.0|180264.0|10639.0|16294.0|831645.0|23425.0|601173.0|624598.0|1456243.0|41603.0|||||||||
Week 38 2015 QTD|37786.0|25797.0|2517.0|27182.0|123340.0|52813.0|37660.0|7735.0|14278.0|36882.0||61906.0|30181.0|15520.0|29358.0|102330.0|21644.0|221906.0|14047.0|16636.0|921466.0|30080.0|645667.0|675747.0|1597213.0|41948.0|||||||||
Week 38 QTD pct-change|17.1|10.2|20.3|7.4|1.7|33.5|17.7|19.7|3.0|9.8||1.5|4.6|7.0|19.0|3.0|34.5|18.8|24.3|2.1|9.7|22.1|6.9|7.6|8.8|0.8|||||||||
Week 38 2016 YTD|112445.0|76571.0|7649.0|82101.0|397449.0|121798.0|99832.0|20485.0|43700.0|106015.0||174810.0|89562.0|49637.0|102525.0|345769.0|44517.0|542731.0|38186.0|54344.0|2636305.0|78347.0|1927454.0|2005801.0|4642106.0|126179.0|||||||||
Week 38 2015 YTD|126821.0|82106.0|9732.0|84981.0|403728.0|167080.0|118921.0|23965.0|44800.0|117737.0||169709.0|92235.0|51908.0|87146.0|326661.0|61727.0|741088.0|42765.0|50896.0|2938933.0|98778.0|1969419.0|2068197.0|5007130.0|134927.0|||||||||
Week 38 YTD pct-change|11.3|6.7|21.4|3.4|1.6|27.1|16.1|14.5|2.5|10.0||3.0|2.9|4.4|17.6|5.8|27.9|26.8|10.7|6.8|10.3|20.7|2.1|3.0|7.3|6.5|||||||||
Week 37 2016|2489.0|1989.0|143.0|2054.0|11298.0|2986.0|2583.0|560.0|1126.0|2629.0||5418.0|2467.0|1279.0|3089.0|9682.0|1158.0|14741.0|812.0|1612.0|72028.0|2082.0|52483.0|54565.0|126593.0|3913.0|||||||||
Week 37 2015|3177.0|2050.0|190.0|2169.0|10250.0|4071.0|2912.0|678.0|1147.0|3046.0||5234.0|2565.0|1202.0|2358.0|9196.0|1706.0|17607.0|1063.0|1275.0|75742.0|2674.0|56410.0|59084.0|134826.0|3846.0|||||||||
Week 37 pct-change|21.7|3.0|24.7|5.3|10.2|26.7|11.3|17.4|1.8|13.7||3.5|3.8|6.4|31.0|5.3|32.1|16.3|23.6|26.4|4.9|22.1|7.0|7.6|6.1|1.7|||||||||
Week 37 2016 QTD|28488.0|21032.0|1797.0|22868.0|111106.0|32261.0|28541.0|5731.0|12657.0|30494.0||58245.0|26436.0|13145.0|31938.0|95298.0|13015.0|163127.0|9763.0|14781.0|758638.0|21352.0|548997.0|570349.0|1328987.0|37915.0|||||||||
Week 37 2015 QTD|34172.0|23389.0|2318.0|25092.0|113619.0|48757.0|34518.0|7144.0|13018.0|33602.0||57001.0|27610.0|14141.0|26991.0|93163.0|19904.0|203965.0|12914.0|15315.0|844880.0|27435.0|589511.0|616946.0|1461826.0|38247.0|||||||||
Week 37 QTD pct-change|16.6|10.1|22.5|8.9|2.2|33.8|17.3|19.8|2.8|9.2||2.2|4.3|7.0|18.3|2.3|34.6|20.0|24.4|3.5|10.2|22.2|6.9|7.6|9.1|0.9|||||||||
Week 37 2016 YTD|109610.0|74443.0|7439.0|79804.0|387343.0|118947.0|97372.0|20006.0|42507.0|103259.0||170234.0|87218.0|48351.0|99533.0|335652.0|43354.0|525594.0|37310.0|52831.0|2563298.0|76274.0|1875278.0|1951552.0|4514850.0|122491.0|||||||||
Week 37 2015 YTD|123207.0|79698.0|9533.0|82891.0|394007.0|163024.0|115779.0|23374.0|43540.0|114457.0||164804.0|89664.0|50529.0|84779.0|317494.0|59987.0|723147.0|41632.0|49575.0|2862347.0|96133.0|1913263.0|2009396.0|4871743.0|131226.0|||||||||
Week 37 YTD pct-change|11.0|6.6|22.0|3.7|1.7|27.0|15.9|14.4|2.4|9.8||3.3|2.7|4.3|17.4|5.7|27.7|27.3|10.4|6.6|10.4|20.7|2.0|2.9|7.3|6.7|||||||||
Week 36 2016|2201.0|1750.0|139.0|2103.0|9568.0|3105.0|2207.0|461.0|1151.0|2885.0||5806.0|2189.0|819.0|2795.0|8566.0|1256.0|15392.0|1015.0|1030.0|67800.0|1759.0|46362.0|48121.0|115921.0|3362.0|||||||||
Week 36 2015|2000.0|2244.0|183.0|2200.0|10290.0|4440.0|3066.0|601.0|1218.0|2873.0||4347.0|2431.0|1119.0|2239.0|8191.0|1796.0|18823.0|1274.0|1157.0|73789.0|2162.0|48762.0|50924.0|124713.0|3297.0|||||||||
Week 36 pct-change|10.1|22.0|24.0|4.4|7.0|30.1|28.0|23.3|5.5|0.4||33.6|10.0|26.8|24.8|4.6|30.1|18.2|20.3|11.0|8.1|18.6|4.9|5.5|7.0|2.0|||||||||
Week 36 2016 QTD|25999.0|19043.0|1654.0|20814.0|99808.0|29275.0|25958.0|5171.0|11531.0|27865.0||52827.0|23969.0|11866.0|28849.0|85616.0|11857.0|148386.0|8951.0|13169.0|686610.0|19270.0|496514.0|515784.0|1202394.0|34002.0|||||||||
Week 36 2015 QTD|30995.0|21339.0|2128.0|22923.0|103369.0|44686.0|31606.0|6466.0|11871.0|30556.0||51767.0|25045.0|12939.0|24633.0|83967.0|18198.0|186358.0|11851.0|14040.0|769138.0|24761.0|533101.0|557862.0|1327000.0|34401.0|||||||||
Week 36 QTD pct-change|16.1|10.8|22.3|9.2|3.4|34.5|17.9|20.0|2.9|8.8||2.0|4.3|8.3|17.1|2.0|34.8|20.4|24.5|6.2|10.7|22.2|6.9|7.5|9.4|1.2|||||||||
Week 36 2016 YTD|107121.0|72454.0|7296.0|77750.0|376045.0|115961.0|94789.0|19446.0|41381.0|100630.0||164816.0|84751.0|47072.0|96444.0|325970.0|42196.0|510853.0|36498.0|51219.0|2491270.0|74192.0|1822795.0|1896987.0|4388257.0|118578.0|||||||||
Week 36 2015 YTD|120030.0|77648.0|9343.0|80722.0|383757.0|158953.0|112867.0|22696.0|42393.0|111411.0||159570.0|87099.0|49327.0|82421.0|308298.0|58281.0|705540.0|40569.0|48300.0|2786605.0|93459.0|1856853.0|1950312.0|4736917.0|127380.0|||||||||
Week 36 YTD pct-change|10.8|6.7|21.9|3.7|2.0|27.0|16.0|14.3|2.4|9.7||3.3|2.7|4.6|17.0|5.7|27.6|27.6|10.0|6.0|10.6|20.6|1.8|2.7|7.4|6.9|||||||||
Week 35 2016|2381.0|2036.0|127.0|1989.0|10103.0|3173.0|2490.0|518.0|1175.0|3038.0||5328.0|2453.0|1059.0|3240.0|10069.0|1181.0|14944.0|837.0|1476.0|70981.0|2026.0|51248.0|53274.0|124255.0|3364.0|||||||||
Week 35 2015|2508.0|1948.0|203.0|2368.0|10651.0|4649.0|3132.0|638.0|1285.0|3107.0||5249.0|2395.0|1093.0|2529.0|9168.0|1955.0|18758.0|1165.0|698.0|77439.0|2472.0|57160.0|59632.0|137071.0|3940.0|||||||||
Week 35 pct-change|5.1|4.5|37.4|16.0|5.1|31.7|20.5|18.8|8.6|2.2||1.5|2.4|3.1|28.1|9.8|39.6|20.3|28.2|111.5|8.3|18.0|10.3|10.7|9.3|14.6|||||||||
Week 35 2016 QTD|23798.0|17293.0|1515.0|18711.0|90240.0|26170.0|23751.0|4710.0|10380.0|24980.0||47021.0|21780.0|11047.0|26054.0|77050.0|10601.0|132994.0|7936.0|12139.0|618810.0|17511.0|450152.0|467663.0|1086473.0|30640.0|||||||||
Week 35 2015 QTD|28995.0|19095.0|1945.0|20723.0|93079.0|40246.0|28540.0|5865.0|10653.0|27683.0||47420.0|22614.0|11820.0|22394.0|75776.0|16402.0|167535.0|10577.0|12883.0|695349.0|22599.0|484339.0|506938.0|1202287.0|31104.0|||||||||
Week 35 QTD pct-change|17.9|9.4|22.1|9.7|3.1|35.0|16.8|19.7|2.6|9.8||0.8|3.7|6.5|16.3|1.7|35.4|20.6|25.0|5.8|11.0|22.5|7.1|7.7|9.6|1.5|||||||||
Week 35 2016 YTD|104920.0|70704.0|7157.0|75647.0|366477.0|112856.0|92582.0|18985.0|40230.0|97745.0||159010.0|82562.0|46253.0|93649.0|317404.0|40940.0|495461.0|35483.0|50189.0|2423470.0|72433.0|1776433.0|1848866.0|4272336.0|115216.0|||||||||
Week 35 2015 YTD|118030.0|75404.0|9160.0|78522.0|373467.0|154513.0|109801.0|22095.0|41175.0|108538.0||155223.0|84668.0|48208.0|80182.0|300107.0|56485.0|686717.0|39295.0|47143.0|2712816.0|91297.0|1808091.0|1899388.0|4612204.0|124083.0|||||||||
Week 35 YTD pct-change|11.1|6.2|21.9|3.7|1.9|27.0|15.7|14.1|2.3|9.9||2.4|2.5|4.1|16.8|5.8|27.5|27.9|9.7|6.5|10.7|20.7|1.8|2.7|7.4|7.1|||||||||
Week 34 2016|2154.0|1872.0|179.0|1882.0|10267.0|2686.0|2630.0|606.0|1098.0|2887.0||5012.0|2456.0|1262.0|2963.0|9915.0|919.0|16980.0|908.0|897.0|71247.0|1967.0|51134.0|53101.0|124348.0|3674.0|||||||||
Week 34 2015|3104.0|2205.0|156.0|2448.0|10368.0|4752.0|3421.0|602.0|1277.0|3052.0||5205.0|2507.0|1333.0|2506.0|9264.0|1360.0|19801.0|1164.0|1994.0|79692.0|2506.0|55810.0|58316.0|138008.0|3173.0|||||||||
Week 34 pct-change|30.6|15.1|14.7|23.1|1.0|43.5|23.1|0.7|14.0|5.4||3.7|2.0|5.3|18.2|7.0|32.4|14.2|22.0|55.0|10.6|21.5|8.4|8.9|9.9|15.8|||||||||
Week 34 2016 QTD|21417.0|15257.0|1388.0|16722.0|80137.0|22997.0|21261.0|4192.0|9205.0|21942.0||41693.0|19327.0|9988.0|22814.0|66981.0|9420.0|118050.0|7099.0|10663.0|547829.0|15485.0|398904.0|414389.0|962218.0|27276.0|||||||||
Week 34 2015 QTD|26487.0|17147.0|1742.0|18355.0|82428.0|35597.0|25408.0|5227.0|9368.0|24576.0||42171.0|20219.0|10727.0|19865.0|66608.0|14447.0|148777.0|9412.0|12185.0|617910.0|20127.0|427179.0|447306.0|1065216.0|27164.0|||||||||
